# World Detailed Checksums
# Format: TYPE VNUM CHECKSUM

# Zones
ROOM 599 5C66A26E
ROOM 699 21C2805C
ROOM 799 9CB1454E
ROOM 899 ADB582B0
ROOM 999 B305FA6D
ROOM 1020 7A900831
ROOM 1099 026300F9
ROOM 1100 3300B6F4
ROOM 1101 CC8FEC42
ROOM 1102 6607BD09
ROOM 1103 793D8C20
ROOM 1104 06CB292E
ROOM 1105 AB0A5BDF
ROOM 1106 6CFB4F5F
ROOM 1107 721EA6CF
ROOM 1108 F997D768
ROOM 1109 2C4B105F
ROOM 1110 F96C86C1
ROOM 1111 F29B450F
ROOM 1112 3F3C0A44
ROOM 1113 A03347C7
ROOM 1114 3E8B0EDC
ROOM 1115 0DB267B1
ROOM 1116 6D66D6C0
ROOM 1117 259E1DCE
ROOM 1118 399161F8
ROOM 1119 5CAA18D6
ROOM 1120 0F80432C
ROOM 1121 70C050E0
ROOM 1122 1908F55F
ROOM 1123 516BFF7F
ROOM 1124 5387F003
ROOM 1125 98A13B77
ROOM 1126 70CFD7D3
ROOM 1127 785A59D4
ROOM 1128 332659FE
ROOM 1129 A5E99F05
ROOM 1130 B1D7B2D8
ROOM 1131 744DDBD5
ROOM 1132 753A44CF
ROOM 1133 6EF7F3D0
ROOM 1134 003205DA
ROOM 1135 968BE362
ROOM 1136 0E041693
ROOM 1137 CAD0E4AD
ROOM 1138 1917A477
ROOM 1139 2304AF87
ROOM 1140 9275C012
ROOM 1141 26F33AE3
ROOM 1142 CE9405C1
ROOM 1143 C9EB7027
ROOM 1144 764BD383
ROOM 1145 DEF97C0D
ROOM 1146 07AE7945
ROOM 1147 3F65D82A
ROOM 1148 271E6E34
ROOM 1149 13D05096
ROOM 1150 774A812B
ROOM 1151 D15145DC
ROOM 1152 6B821FCD
ROOM 1153 E52DC3E7
ROOM 1154 87B6CA64
ROOM 1155 E98A5B54
ROOM 1156 0F24A7A6
ROOM 1157 4F2DB307
ROOM 1158 50869B4E
ROOM 1159 6577F9B4
ROOM 1160 6F5D2E84
ROOM 1161 46A3F9B1
ROOM 1162 0F77EFF2
ROOM 1163 91E8B39E
ROOM 1164 64A05C02
ROOM 1165 57BD0273
ROOM 1166 04B9C766
ROOM 1167 342B6A36
ROOM 1168 E19FC3C1
ROOM 1169 9EEF4521
ROOM 1170 2F79EA3B
ROOM 1171 416816D1
ROOM 1172 A67FEA6C
ROOM 1173 8030F54B
ROOM 1174 257F1C8D
ROOM 1175 4A988FC6
ROOM 1176 77CE1EEC
ROOM 1177 FD32CBDE
ROOM 1178 F33A9E11
ROOM 1179 D645CA49
ROOM 1180 634FFE60
ROOM 1199 1677BDCC
ROOM 1299 B1E4AE32
ROOM 1300 C11E858A
ROOM 1399 F3AA865B
ROOM 1400 B0ECEF25
ROOM 1499 25B38F8F
ROOM 1500 4E8ADB79
ROOM 1501 0CBA1CBD
ROOM 1502 57ADADA8
ROOM 1525 9E74FD1D
ROOM 1599 06BCCCA3
ROOM 1699 A12FDF5D
ROOM 1799 E361F734
ROOM 1899 D66CCAB4
ROOM 1999 37E15F12
ROOM 2099 10B4C4B8
ROOM 2199 4FBE0BFE
ROOM 2299 E82D1800
ROOM 2399 AA633069
ROOM 2500 F4F7E0FF
ROOM 2501 854B49A4
ROOM 2502 F7E787BB
ROOM 2503 0B90CB63
ROOM 2504 7BE3D36F
ROOM 2599 8DA03C17
ROOM 2600 A92857AD
ROOM 2699 966A722E
ROOM 2700 C6CE19FC
ROOM 2799 093C6CC5
ROOM 2800 8140C17B
ROOM 2899 E12967C7
ROOM 2900 0B34344E
ROOM 2999 7E7F792C
ROOM 3099 4A14482D
ROOM 3100 FB1F8551
ROOM 3199 D54256C6
ROOM 3299 B1E66EAF
ROOM 3399 2EB07044
ROOM 3499 25B14F12
ROOM 3599 BAE751F9
ROOM 3699 A12D1FC0
ROOM 3799 3E7B012B
ROOM 3800 970B68AE
ROOM 3801 D1EA24F3
ROOM 3802 FEA24687
ROOM 3803 6D53CE18
ROOM 3804 493254C3
ROOM 3805 ACA6D1DC
ROOM 3806 ACA1DD9E
ROOM 3807 3CFE6AF6
ROOM 3808 CC12FC63
ROOM 3898 45F842FF
ROOM 3899 D66E0A29
ROOM 3900 C0B9F68D
ROOM 3901 9A42A36F
ROOM 3902 79BE6316
ROOM 3903 93F282B8
ROOM 3904 63F0DDC4
ROOM 3905 1C78FBB7
ROOM 3906 9140B430
ROOM 3907 759BDEC4
ROOM 3908 C2C7E31D
ROOM 3999 493814C2
ROOM 4000 10C38459
ROOM 4001 91176EB5
ROOM 4002 3BD675B9
ROOM 4003 2142D203
ROOM 4004 1A80D239
ROOM 4005 32FF980C
ROOM 4006 E20A1026
ROOM 4007 A6409DC3
ROOM 4008 9B171E6A
ROOM 4009 C47B0C06
ROOM 4010 B958E251
ROOM 4011 9EE4F22D
ROOM 4012 4C65A500
ROOM 4013 2B889B3B
ROOM 4014 8C5069A3
ROOM 4015 CED8F715
ROOM 4016 5E3E234C
ROOM 4017 CE093252
ROOM 4018 0824E3D3
ROOM 4019 07F4B19E
ROOM 4020 074E1837
ROOM 4021 7A2D1B43
ROOM 4022 641F6B6A
ROOM 4023 FA5679C7
ROOM 4024 4B528BE5
ROOM 4025 F00654F3
ROOM 4026 BB7DB3AE
ROOM 4027 53D26715
ROOM 4028 CB4C7CB8
ROOM 4029 CAF0EFBF
ROOM 4030 8D4A932F
ROOM 4031 ABECDE9D
ROOM 4032 34BB2F7E
ROOM 4033 7CBB5214
ROOM 4034 FFFDE99E
ROOM 4035 5195BA48
ROOM 4036 24E7CF02
ROOM 4037 D097EA2E
ROOM 4038 142773CA
ROOM 4039 4E27BAAE
ROOM 4040 910D34D1
ROOM 4041 B4A28A44
ROOM 4042 3DC5F9AC
ROOM 4043 7E851A48
ROOM 4044 9175BBDB
ROOM 4045 FA90F07C
ROOM 4046 05F3DCA2
ROOM 4047 C5251975
ROOM 4048 6B55457C
ROOM 4049 60689E45
ROOM 4050 1C52FEE2
ROOM 4051 0E434D71
ROOM 4052 56393428
ROOM 4053 CAD1B6D7
ROOM 4054 9178E6A0
ROOM 4055 840F9F40
ROOM 4056 88120C2A
ROOM 4057 FC06E198
ROOM 4058 D4D67E2A
ROOM 4060 177B1A84
ROOM 4061 CB01F1AE
ROOM 4062 CBF463DB
ROOM 4063 4A26F05F
ROOM 4064 77C849C3
ROOM 4070 1EADA4B5
ROOM 4071 BDE12B67
ROOM 4080 81AFA254
ROOM 4099 CB7C47E9
ROOM 4100 2245D0DE
ROOM 4101 4592C01D
ROOM 4102 4363BD51
ROOM 4103 F888832B
ROOM 4104 90BEA8F3
ROOM 4105 888AD1CB
ROOM 4106 C5C74BD6
ROOM 4107 BCE4EF58
ROOM 4108 8BCEAEC4
ROOM 4109 0435CC7E
ROOM 4111 5F5C93CF
ROOM 4112 446FDEEB
ROOM 4113 0F007923
ROOM 4114 E0027DCF
ROOM 4115 4365DA9F
ROOM 4116 BD4DDCCE
ROOM 4117 FE2369ED
ROOM 4118 B1B28E49
ROOM 4119 083BF90D
ROOM 4120 10568B88
ROOM 4121 155EA701
ROOM 4122 4E88E1B4
ROOM 4123 43D9AD7D
ROOM 4124 16C99C10
ROOM 4125 AF4827B2
ROOM 4126 551931F9
ROOM 4127 2478C7EB
ROOM 4128 E6B5A1B8
ROOM 4129 97EF3D75
ROOM 4130 03A500C9
ROOM 4131 A005B21A
ROOM 4132 B3386BD4
ROOM 4133 574C7DBA
ROOM 4134 F5E51096
ROOM 4135 BCD0CBBB
ROOM 4136 698DAD5E
ROOM 4137 89F28575
ROOM 4138 7F4DBE49
ROOM 4139 637BF861
ROOM 4199 542A5902
ROOM 4200 46D4CF8B
ROOM 4201 D85E4400
ROOM 4202 6CB485DD
ROOM 4203 288B6705
ROOM 4204 D7D81419
ROOM 4205 41DBEE57
ROOM 4206 91C0F62D
ROOM 4207 876D917D
ROOM 4208 DE1ACF26
ROOM 4209 687FA7FE
ROOM 4210 4163B561
ROOM 4211 8BA68898
ROOM 4212 8E0DF2EB
ROOM 4213 10BA1D9A
ROOM 4214 6EF7DA42
ROOM 4215 BE68DB0B
ROOM 4217 B0D8C83D
ROOM 4218 3002D583
ROOM 4219 AA351968
ROOM 4220 A9110807
ROOM 4221 BE4DC91E
ROOM 4222 ED3CFF01
ROOM 4223 49FBCB44
ROOM 4224 9821A7A9
ROOM 4225 959B2C88
ROOM 4226 2AB80F1F
ROOM 4227 F4C05401
ROOM 4228 E360B5B9
ROOM 4229 8DD3E303
ROOM 4230 68023D0A
ROOM 4231 81DF9A91
ROOM 4232 15E43B87
